Name,dataTime,XAcc,YAcc,ZAcc,Acc,Shake,XOri,YOri,ZOri,XGyr,YGyr,ZGyr,Timestamp
칼만1,6.487,-0.5673241,-0.45482436,0.3224958,0.7954403604003779,0,-4.1493773,-46.823048,283.64,-0.0720821,-0.8906415,-0.042760566,2017-02-20 16:03:29
칼만1,6.607,-0.18510097,-0.12399202,0.68289614,0.718319932173785,0,-3.5065818,-37.486725,280.61627,-0.13561209,-0.88208944,-0.07574729,2017-02-20 16:03:29
칼만1,6.727,0.2113927,0.23023012,1.0255152,1.0720887118724616,0,-2.3152308,-29.480783,279.04492,-0.07941248,-0.643852,-0.06841691,2017-02-20 16:03:30
칼만1,6.828,0.57767564,0.5516492,1.3336687,1.554573325572838,0,-2.3152308,-29.480783,279.04492,-0.07941248,-0.643852,-0.06841691,2017-02-20 16:03:30
칼만1,6.929,0.9027504,0.84625673,1.6193831,2.038016267760328,0,-1.6259906,-22.82116,278.69687,-0.04642576,-0.3933972,-0.047647487,2017-02-20 16:03:30
칼만1,7.047,1.2141254,1.1173078,1.8910701,2.50970583565659,0,-1.6259906,-22.82116,278.69687,-0.04642576,-0.3933972,-0.047647487,2017-02-20 16:03:30
칼만1,7.148,1.5082523,1.3691072,2.1487532,2.960814028344965,0,-1.0373337,-17.23128,278.2411,-0.09285152,-0.5717699,-0.05009095,2017-02-20 16:03:30
칼만1,7.269,1.8020061,1.6321847,2.3849833,3.4057889630955485,0,-0.2362447,-11.2785,277.50748,-0.0720821,-0.43371433,-0.032986723,2017-02-20 16:03:30
칼만1,7.387,2.0540278,1.856361,2.6010447,3.7987550278716538,0,-0.2362447,-11.2785,277.50748,-0.0720821,-0.43371433,-0.032986723,2017-02-20 16:03:30
칼만1,7.507,2.3235567,2.102301,2.798992,4.201540231839259,0,-0.14167032,-6.375229,278.404,0.12461651,-0.4569272,0.04520403,2017-02-20 16:03:30
칼만1,7.608,2.5256777,2.299088,3.0146391,4.555535371950455,0,-0.14167032,-6.375229,278.404,0.12461651,-0.4569272,0.04520403,2017-02-20 16:03:30
칼만1,7.728,2.7727396,2.5151324,3.1748304,4.908515517791741,0,-0.43366846,-1.5730664,278.1951,0.030543262,-0.44348818,-0.02076942,2017-02-20 16:03:31
칼만1,7.847,2.9846528,2.723058,3.3604717,5.255089636980091,0,-0.9436141,2.8368003,277.65225,0.12950343,-0.7440339,-0.029321533,2017-02-20 16:03:31
칼만1,7.966,3.2011468,2.9248796,3.5510666,5.60467088651269,0,-0.9436141,2.8368003,277.65225,0.12950343,-0.7440339,-0.029321533,2017-02-20 16:03:31
칼만1,8.067,3.392515,3.1021435,3.7112405,5.908109543143613,0,-1.6482186,8.814351,277.64743,0.010995574,-0.25900686,-0.015882496,2017-02-20 16:03:31
칼만1,8.188,3.5823202,3.2661498,3.8562293,6.194453714063534,0,-1.9234993,12.077553,276.41333,-0.05009095,-0.2602286,0.03176499,2017-02-20 16:03:31
칼만1,8.31,3.7426696,3.4255946,4.010984,6.4676321747108,0,-1.9234993,12.077553,276.41333,-0.05009095,-0.2602286,0.03176499,2017-02-20 16:03:31
